"initial_alias","converted_alias","name","description","namespace"
"3","ENSG00000291190","A2MP1","alpha-2-macroglobulin pseudogene 1 [Source:NCBI gene (formerly Entrezgene);Acc:3]","ENTREZGENE_ACC"
"61","None","None","None",""
"72","ENSG00000163017","ACTG2","actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]","ENTREZGENE_ACC"
"20","ENSG00000107331","ABCA2","ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]","ENTREZGENE_ACC"
"13","ENSG00000114771","AADAC","arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]","ENTREZGENE_ACC"
"22","ENSG00000131269","ABCB7","ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]","ENTREZGENE_ACC"
"38","ENSG00000075239","ACAT1","acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]","ENTREZGENE_ACC"
"32","ENSG00000076555","ACACB","acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]","ENTREZGENE_ACC"
"17","None","None","None",""
"183","ENSG00000135744","AGT","angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]","ENTREZGENE_ACC"
"15","ENSG00000129673","AANAT","aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]","ENTREZGENE_ACC"
"30","ENSG00000060971","ACAA1","acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]","ENTREZGENE_ACC"
"82","None","None","None",""
"88","ENSG00000077522","ACTN2","actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]","ENTREZGENE_ACC"
"51","ENSG00000161533","ACOX1","acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]","ENTREZGENE_ACC"